Nama Repo,URL,Stars,Bahasa,Deskripsi
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,160077,TypeScript,"The context API to search, scrape, and interact with the web at scale. 🔥"
D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,72349,Python,🕷️ An adaptive Web Scraping framework that handles everything from a single requ
scrapy/scrapy,https://github.com/scrapy/scrapy,63599,Python,"Scrapy, a fast high-level web crawling & scraping framework for Python."
soimort/you-get,https://github.com/soimort/you-get,56862,Python,:arrow_double_down: Dumb downloader that scrapes the web
apify/crawlee,https://github.com/apify/crawlee,25178,TypeScript,Crawlee—A web scraping and browser automation library for Node.js to build relia
h4ckf0r0day/obscura,https://github.com/h4ckf0r0day/obscura,19965,Rust,The headless browser for AI agents and web scraping
dzhng/deep-research,https://github.com/dzhng/deep-research,19472,TypeScript,"An AI-powered research assistant that performs iterative, deep research on any t"
getmaxun/maxun,https://github.com/getmaxun/maxun,17013,TypeScript,"🔥 The open-source no-code platform for web scraping, crawling, search and AI dat"
code4craft/webmagic,https://github.com/code4craft/webmagic,11682,Java,A scalable web crawler framework for Java.
apify/crawlee-python,https://github.com/apify/crawlee-python,9397,Python,Crawlee—A web scraping and browser automation library for Python to build reliab
clips/pattern,https://github.com/clips/pattern,8859,Python,"Web mining module for Python, with tools for scraping, natural language processi"
lorien/awesome-web-scraping,https://github.com/lorien/awesome-web-scraping,7994,Makefile,"List of libraries, tools and APIs for web scraping and data processing."
alirezamika/autoscraper,https://github.com/alirezamika/autoscraper,7772,Python,"A Smart, Automatic, Fast and Lightweight Web Scraper for Python"
firecrawl/firecrawl-mcp-server,https://github.com/firecrawl/firecrawl-mcp-server,7118,JavaScript,🔥 Official Firecrawl MCP Server - Adds powerful web scraping and search to Curso
go-rod/rod,https://github.com/go-rod/rod,7053,Go,A Chrome DevTools Protocol driver for web automation and scraping.
